"word","freq"
"natures",1
"ten",1
"brunswick",1
"farms",1
"freeze",1
"winternuclear",1
"glad",1
"supercomputers",1
"antivaxers",1
"isthe",1
"loonytunes",1
"noel",1
"wauchope",1
"ambitious",1
"forges",1
"mix",1
"revamp",1
"imaging",1
"jnm",1
"molecular",1
"snmmi",1
"society",1
"billsnuclear",1
"spiralling",1
"tenyear",1
"experiments",1
"appearance",1
"comets",1
"delivers",1
"forgottenignored",1
"commission",1
"sworn",1
"billionaires",1
"investing",1
"startups",1
"misleading",1
"pulling",1
"elon",1
"fueled",1
"musks",1
"subsidiesnuclear",1
"contaminated",1
"heavily",1
"pits",1
"plutonium",1
"river",1
"savannah",1
"strengths",1
"weaknesses",1
"koreaamps",1
"amountand",1
"edf",1
"eve",1
"hinckley",1
"destabilization",1
"inte",1
"region",1
"democracy",1
"demoted",1
"forbade",1
"civilizedworld",1
"remain",1
"vigilant",1
"agr",1
"belgium",1
